i,date,open,high,low,close,volume
388,2020-09-21,10418506.076531505,10574015.272827627,10354278.148136517,10530909.951840023,4399666649267.602
389,2020-09-22,10530909.951840023,10538450.882704211,10138071.45924787,10242724.37776627,5188297259351.9375
390,2020-09-23,10242724.37776627,10796572.745666884,10192188.139494725,10737645.471592875,5768373999723.483
391,2020-09-24,10737655.472827444,10761858.460481739,10557543.239494313,10687989.341963302,4810705541745.3125
392,2020-09-25,10687889.329617623,10822275.918506362,10645994.158012733,10729924.518506465,2842434540423.4614
393,2020-09-26,10729914.517271897,10800333.209864412,10596128.002457233,10775580.154308883,3055325479410.8022
394,2020-09-27,10775590.155543452,10951351.85183955,10627311.851839913,10697440.50862996,5010143633292.322
395,2020-09-28,10697430.50739539,10868881.67159273,10637183.070358422,10841818.330852019,4188006813949.604
396,2020-09-29,10841918.343197698,10850679.42467917,10666446.682704067,10777920.44319777,3960091572039.033
397,2020-09-30,10777920.44319777,10921348.14813588,10438288.518506793,10620441.003691772,6087384725501.718
398,2020-10-01,10620441.003691772,10665956.62221024,10375280.740729086,10571704.987642445,5013658264243.8125
399,2020-10-02,10571704.987642445,10604869.081469567,10497755.859247467,10543361.488877045,2230097420780.7173
400,2020-10-03,10543371.490111614,10698190.60122255,10519168.50245732,10667946.86788925,2321486727418.3184
401,2020-10-04,10667936.866654685,10799333.086407622,10616950.57282758,10793542.371592812,3402996236427.6963
402,2020-10-05,10793532.370358247,10801333.3333212,10526299.382704224,10600968.599988092,4868074969816.3955
403,2020-10-06,10600958.598753523,10683188.749370717,10547471.996284448,10667706.83825962,3281604114196.054
404,2020-10-07,10667716.83949419,10951351.85183955,10531710.050605454,10926918.835790195,5196610634867.892
405,2020-10-08,10926788.819740813,11106010.9431974,10830336.913568081,11052004.276530795,4824602880154.296
406,2020-10-09,11052004.276530795,11492418.6419624,11051874.260481412,11294614.22467867,4365342558948.714
407,2020-10-10,11294614.22467867,11446412.962950105,11222385.30862937,11370423.582703277,2904743699962.651
408,2020-10-11,11370423.582703277,11721456.914801648,11173379.259246707,11529673.24072779,5283180534990.485
409,2020-10-12,11529663.239493221,11558426.790110473,11301395.0617157,11421969.94566618,4221049423780.555
410,2020-10-13,11421979.94690075,11549405.676530236,11281392.59257992,11419299.616036555,4142021899100.4707
411,2020-10-14,11419299.616036555,11618774.23949312,11252218.991345385,11506540.38517226,4876673752063.398
412,2020-10-15,11506550.386406826,11542574.833320366,11201382.7160368,11320717.446900863,4880377391546.395
413,2020-10-16,11320637.43702432,11403827.70616003,11256389.506160194,11361602.493814398,2237167683544.9067
414,2020-10-17,11361712.507394644,11506420.370357445,11347620.767888486,11504560.140727816,2328691576396.0386
415,2020-10-18,11504560.140727816,11825449.751838569,11409368.39011064,11752920.79875223,4742038833820.501
416,2020-10-19,11752910.797517661,12039866.21973956,11679031.677764658,11911460.369122421,6214242161980.217
417,2020-10-20,11911470.37035699,13219311.812330829,11888417.524678005,12782537.896281937,11459860299610.176
418,2020-10-21,12782327.870356012,13186627.777762964,12679645.195047485,12970121.051837282,7004747091233.415
419,2020-10-22,12970441.091343455,13029298.356775487,12721650.380232623,12924665.440726222,5039322045820.771
420,2020-10-23,12924655.439491654,13168355.52220743,12871588.88887443,13113348.732084034,3595664761428.924
421,2020-10-24,13113348.732084034,13351648.14813315,12889591.111096632,13030438.497516226,3848633031624.1216
422,2020-10-25,13031248.597516226,13240444.420972781,12766575.925911585,13053801.381466819,6095919788383.103
423,2020-10-26,13053761.376528546,13790992.38146599,13021477.391343398,13637853.477762459,8080652887911.861
424,2020-10-27,13637843.47652789,13861191.04689801,12889591.111096632,13268037.82714559,9445222055444.033
425,2020-10-28,13268037.82714559,13644594.309861215,12922365.156775609,13457361.197515748,7488184566304.329
426,2020-10-29,13457351.19628118,13671667.651836494,13116619.135787735,13561774.08640452,7066650206349.853
427,2020-10-30,13561774.08640452,14101740.7407249,13413155.740725674,13792702.592577098,6734755200116.077
428,2020-10-31,13792702.592577098,13896715.432083154,13604679.382700767,13763198.950601824,3629012823565.38
429,2020-11-01,13763188.949367255,13831707.40739187,13196679.018503694,13551042.761713173,6457439307112.598
430,2020-11-02,13551302.793811938,14067846.556774322,13286630.122207297,14025261.299984246,7412478086479.168
431,2020-11-03,14025261.299984246,14260760.37035435,13526669.753071224,14145756.174058184,9302847184069.328
432,2020-11-04,14145756.174058184,15751944.444426749,14095299.945663178,15591944.693809645,14375926853983.518
433,2020-11-05,15591944.693809645,15961970.37035244,15167872.345661974,15581843.446896076,12263333574396.04
434,2020-11-06,15581853.448130645,15755464.878994647,14345990.891341908,14820129.419736437,10144372892406.543
435,2020-11-07,14820129.419736437,15651932.09874785,14705695.29381064,15477010.506155454,6555527081819.477
